n_estimators,test-mlogloss-mean,test-mlogloss-std,train-mlogloss-mean,train-mlogloss-std
0,0.957322,0.005089287834920164,0.870178,0.006481575168635079
1,0.8704689999999999,0.004528234608174209,0.724992,0.010923645942022579
2,0.8184886666666666,0.007773314451091954,0.6189703333333333,0.010816421137429056
3,0.7839436666666667,0.009277246011374042,0.5433389999999999,0.012043464147273697
4,0.7635689999999999,0.007290485717700813,0.4845026666666667,0.007632345831321369
5,0.7493576666666666,0.008606444884826437,0.43775433333333336,0.009800801271097972
6,0.7408303333333333,0.009438974850174248,0.39979733333333334,0.012355752407504594
7,0.732379,0.012749177934282678,0.3688013333333333,0.017131457231913737
8,0.7334200000000001,0.014385568416530017,0.34336733333333336,0.015898019674020915
9,0.73753,0.014832403468981908,0.31443466666666664,0.017947880716737075
10,0.7369980000000002,0.014372408009794346,0.2937813333333333,0.020445598993969902
11,0.7393683333333333,0.016182971633445106,0.2751036666666667,0.021604892136324643
12,0.7407653333333334,0.01753436778317242,0.2555516666666667,0.01999216382041279
13,0.7436383333333333,0.01924569032854426,0.2425183333333333,0.019298394844016326
14,0.7457600000000001,0.018471068043474554,0.23046766666666665,0.017999056759236638
15,0.7459803333333334,0.018415797753257614,0.21772433333333333,0.014928183509351992
16,0.7480303333333334,0.017842979297814077,0.205924,0.014842835331117387
17,0.7524616666666667,0.016421148606463425,0.19275699999999998,0.013720140621242433
18,0.7540263333333334,0.013162712494855388,0.180885,0.01309402133290864
19,0.754731,0.010285299152998263,0.17216433333333334,0.012724565253433568
20,0.757335,0.007354424563938799,0.164461,0.014348923885318603
21,0.762495,0.004701549177310245,0.15443833333333332,0.015665271512347156
22,0.7639886666666666,0.003910995212929235,0.144653,0.012915977805287011
23,0.7677513333333333,0.0041864300092348825,0.13630499999999998,0.013244359780676448
24,0.773176,0.002139423442581351,0.12967966666666667,0.011014723852895982
25,0.7762023333333333,0.004828021011645361,0.12242966666666666,0.01064585792169372
26,0.7831550000000002,0.005860475919240689,0.11508800000000001,0.008775840168705598
27,0.7885736666666667,0.008226501902726073,0.10857733333333335,0.008204045032110006
28,0.7923523333333332,0.008574303988598085,0.10439433333333333,0.007876401984549943
29,0.7970893333333334,0.007162051863040974,0.098142,0.006869488530208539
30,0.8030673333333334,0.00799005041007602,0.092494,0.005968572191068814
31,0.8088533333333334,0.007716839263728524,0.08824833333333333,0.0060989961104722405
32,0.8100083333333332,0.006225268151297257,0.08389866666666668,0.004812934332492906
33,0.8145736666666666,0.005570049810270004,0.07901933333333333,0.004217484347596592
34,0.8149510000000001,0.006062876050192702,0.07633066666666667,0.0037271254637082233
35,0.8162796666666666,0.005765919489166934,0.07276633333333334,0.003437744060022824
36,0.8203136666666667,0.006161259304900448,0.069332,0.0034216289492969097
37,0.8252450000000001,0.007054980085017964,0.066272,0.003022556533797179
38,0.8286766666666666,0.008290683298471596,0.06344166666666667,0.0029089968870538354
39,0.8324386666666667,0.011035193287337068,0.06079433333333334,0.0026084999946755258
40,0.836274,0.011844424539278652,0.05872966666666666,0.002473648093179159
41,0.840598,0.012779282713308556,0.05686633333333333,0.0023729453334528283
42,0.844862,0.012785750062732585,0.05477666666666667,0.0025842896294511726
43,0.848334,0.0134689668745107,0.052846666666666674,0.002837285713886112
44,0.8524066666666666,0.013101465422700692,0.05081466666666667,0.002689590964357882
45,0.8555833333333333,0.013789107786784285,0.048985,0.0029979886590846216
46,0.8577073333333334,0.011914097541241724,0.047395999999999994,0.003075719211284846
47,0.8615543333333333,0.01127405932020741,0.04567633333333334,0.0027420927936320635
48,0.865813,0.011662711720121823,0.044436,0.002713798444984448
49,0.8696233333333333,0.013543759924366981,0.042972666666666666,0.0026701498501436644
50,0.872141,0.013156900116162119,0.041768666666666655,0.0025489854626672324
51,0.8751393333333333,0.013513313961505572,0.040605333333333334,0.0025989086598459388
52,0.876473,0.013660009980474633,0.03930066666666667,0.0021415709706246525
53,0.8799933333333333,0.01567983072470984,0.038016666666666664,0.0021215334600760416
54,0.8835470000000001,0.017329175918086796,0.037003666666666664,0.002371832671632262
55,0.8865506666666666,0.01915691089108287,0.03591966666666666,0.00219933873900518
56,0.8901226666666666,0.018890325219246173,0.035081,0.0019613282914052567
57,0.8937816666666666,0.020134304132223942,0.033906,0.0017816657000309206
58,0.8976866666666666,0.020155926578111515,0.03300466666666667,0.0018426007585897592
59,0.9018136666666666,0.01995303840410168,0.03214,0.0016914327260244997
60,0.9045616666666666,0.020998340257162133,0.03141133333333334,0.0016351932267744053
61,0.9066866666666668,0.02108776331324771,0.030556666666666666,0.0014721119371690298
62,0.9098753333333334,0.020103032048811843,0.02971,0.001449502673333168
63,0.9126576666666667,0.021666166332684627,0.02903233333333333,0.001471529212153882
64,0.9163486666666666,0.02217146042901899,0.028353666666666666,0.00144595281927024
65,0.9189470000000001,0.02159139884305786,0.027637999999999996,0.001371110741941243
66,0.9224609999999999,0.022485938065081198,0.027085666666666664,0.0012864183698246157
67,0.9237493333333333,0.023663345358498112,0.02644,0.0011949669451495305
68,0.9268553333333335,0.023008210249580226,0.025845999999999997,0.001126570903228022
69,0.928765,0.023146102969326534,0.025357666666666667,0.0010886187987026905
70,0.931329,0.023208916863998626,0.024798666666666667,0.0010546728824089907
71,0.9338396666666666,0.023222854179067293,0.024395,0.0009874603789519869
72,0.9373036666666668,0.02297466571876272,0.023971333333333334,0.0008751568748261965
73,0.9397030000000001,0.02265284248536297,0.023507333333333335,0.0008680035842219902
74,0.942885,0.02119686704837928,0.023057000000000005,0.0007822203440634011
75,0.9456169999999999,0.020771944877646872,0.022688,0.0007284668832555126
