n_estimators,test-mlogloss-mean,test-mlogloss-std,train-mlogloss-mean,train-mlogloss-std
0,1.0383933333333333,0.00019797362338339644,1.0373496666666666,0.00026741021338427015
1,0.9878233333333334,0.0004351439097841368,0.9859066666666667,0.00032072036972344655
2,0.9443363333333333,0.0006782361109689351,0.9414176666666667,0.000258541206687707
3,0.907222,0.0005320081453010471,0.9034023333333333,0.00032235005127278295
4,0.875054,0.00041947347949545285,0.87018,0.0005021951811796075
5,0.8468796666666667,0.0005589140263840832,0.8411416666666667,0.0005829661701639035
6,0.822526,0.0008984924410737556,0.8158866666666666,0.00037786623147471296
7,0.8009883333333333,0.00108742274310512,0.7935493333333334,0.0003039433426735221
8,0.782251,0.001021006366287682,0.7738353333333334,0.0005213759573368011
9,0.7657113333333334,0.0010984283722159087,0.7564223333333334,0.0005110683798562576
10,0.7509846666666666,0.0009588525549959268,0.740892,0.0006774279789517692
11,0.737847,0.0008535560907169884,0.7267826666666667,0.0008038662133022255
12,0.726343,0.0008585037371303097,0.7143596666666667,0.0008976670998884736
13,0.7161136666666666,0.0008751557321731462,0.7032876666666666,0.001037279240234862
14,0.706913,0.0007835776923828195,0.6933333333333334,0.0011413758753753816
15,0.6984453333333334,0.0009932687898494062,0.6839093333333334,0.0010759310180283462
16,0.690913,0.001010309853460796,0.6755049999999999,0.0010325240917286138
17,0.6843813333333332,0.0011123987094962717,0.6680953333333334,0.0010910451665974276
18,0.6784636666666667,0.0011884938180552508,0.661323,0.0011863830185343666
19,0.6733273333333334,0.0012358803430034223,0.6552746666666667,0.001262533255887639
20,0.6684086666666667,0.001586722057856671,0.6495373333333334,0.0009709879276054718
21,0.6639923333333333,0.001476406974907517,0.6443070000000001,0.0011889426675272083
22,0.6598796666666665,0.0015438606010762437,0.639378,0.001228544124835044
23,0.656097,0.0013236391754049327,0.6348266666666667,0.0014600861466213502
24,0.6525063333333333,0.0013372113603399695,0.630494,0.0013948830297436266
25,0.649145,0.0012996325121612578,0.626505,0.001430158732448945
26,0.6461993333333333,0.0014330160113861109,0.6229246666666667,0.001333564230007518
27,0.6435420000000001,0.0013966719968076604,0.619479,0.001274736051110213
28,0.6412563333333333,0.0014744674368131075,0.6163463333333333,0.001161487647612157
29,0.6388836666666666,0.00154914542750365,0.6132299999999999,0.0011133310379217998
30,0.6368633333333333,0.0015652600068004397,0.610479,0.001072577269943752
31,0.634904,0.001561916771150128,0.6077386666666666,0.0010307254187652667
32,0.6330276666666667,0.0016018575328522334,0.605231,0.0010749384478502186
33,0.6314033333333333,0.001515256267287997,0.602939,0.0011861880120790217
34,0.6297086666666667,0.0015395411293268114,0.6005306666666667,0.001200102865961456
35,0.6281353333333334,0.0016246005320967013,0.5981646666666667,0.001243569414584031
36,0.6266473333333333,0.0015524540429769917,0.595854,0.0013417170590950618
37,0.625249,0.0015109548857152,0.5938053333333333,0.001278670229400663
38,0.6240716666666667,0.0015202461058072719,0.5919440000000001,0.0012520734802718154
39,0.6229399999999999,0.0014198636084732702,0.5902866666666666,0.0014124863027850823
40,0.621904,0.001401500862171203,0.5885600000000001,0.0014545934139820885
41,0.620864,0.001522808151628655,0.5867933333333334,0.0013108125554615057
42,0.619853,0.0014616274035015105,0.5850293333333334,0.0014338889620732539
43,0.6187256666666667,0.0015770610500407266,0.5831153333333333,0.0013727491475947805
44,0.6177266666666666,0.0015239908865285925,0.5815536666666666,0.001417051477148569
45,0.616924,0.0014725694097959226,0.5800183333333333,0.0014296690370696106
46,0.616095,0.0015400597391010246,0.5784273333333333,0.0012672714345746473
47,0.6153023333333333,0.0016114180780363,0.5769336666666667,0.0012249098833065923
48,0.614337,0.0015258455579338997,0.575233,0.0013220718588639766
49,0.6135576666666666,0.0016129216416869668,0.5737983333333334,0.0013241654814343522
50,0.6128683333333335,0.0016181393292571413,0.5724473333333334,0.001233816932215711
51,0.6121786666666668,0.0017097205099729535,0.5711916666666667,0.0011408258217429695
52,0.6114700000000001,0.001679235738860593,0.569983,0.0013094619760293197
53,0.6107796666666667,0.0016942770992045399,0.568744,0.0012656384423154025
54,0.6101223333333333,0.0016914091429600555,0.5675583333333334,0.0014262165177684877
55,0.609572,0.0016808333250702388,0.566447,0.0014352172890077046
56,0.60893,0.0016506782444397643,0.5651986666666667,0.001421022714651515
57,0.6083946666666668,0.001718859376317812,0.5640746666666666,0.0013999405542934567
58,0.6077353333333333,0.0017062290454553737,0.5628793333333334,0.001386410312842313
59,0.6071213333333333,0.0017360165769817928,0.561384,0.0013596087672562232
60,0.6066216666666667,0.0017492278931637952,0.5603976666666667,0.0013212383921491634
61,0.6061613333333334,0.001717059566688223,0.5592649999999999,0.0014022427274429418
62,0.6057586666666667,0.0018382535794122894,0.5581753333333332,0.0012097973200315747
63,0.6053203333333333,0.0017718181496856878,0.5572849999999999,0.0012324904326876424
64,0.604934,0.001809893551197592,0.556392,0.0012545118572576707
65,0.6045236666666667,0.0017039407918769249,0.5553726666666666,0.0014130520946597528
66,0.6041569999999999,0.0017510969895087774,0.5543176666666666,0.0014330909097316664
67,0.6037023333333332,0.0017345532245765663,0.5533163333333334,0.0015019146299159517
68,0.603268,0.0018743100063756428,0.5524113333333334,0.0012610451573551475
69,0.6028116666666667,0.0019201252273976814,0.5513746666666667,0.0012436104248875017
70,0.602503,0.0019513248490875506,0.5505563333333333,0.0011698678937764368
71,0.602023,0.001985107217927186,0.549458,0.0010809073349120494
72,0.6015846666666667,0.0019601942647491737,0.5484873333333332,0.001197008586249724
73,0.601306,0.0019307254249806408,0.5476976666666666,0.001298520782360573
74,0.6009913333333333,0.0020766983946211813,0.5467026666666667,0.0010942432189519162
75,0.6005973333333333,0.002093159069179606,0.5457343333333333,0.0011619298123763378
76,0.600317,0.0021976903027193773,0.5449266666666667,0.0011805722717770522
77,0.5999096666666667,0.002180477980219534,0.543877,0.0012314389956469673
78,0.5995906666666667,0.002247753298048702,0.5430916666666666,0.0013262373677270188
79,0.5993006666666667,0.0022679156852836438,0.5423723333333333,0.0012986137052855692
80,0.5989493333333332,0.0022459690311509126,0.5415186666666667,0.0013652946771871607
81,0.5986946666666667,0.0021854307482864015,0.5407730000000001,0.001472149448935127
82,0.5983583333333332,0.002057428222050286,0.5399913333333333,0.0018550425571638271
83,0.5980376666666666,0.0020935351813513,0.5390639999999999,0.0017135882430346881
84,0.5978293333333334,0.002172851633734398,0.5383653333333334,0.0017109415211774013
85,0.5976483333333333,0.0021913097047707064,0.537689,0.0017870942896221086
86,0.5973623333333333,0.002117956929579884,0.5367996666666667,0.001951143653234104
87,0.597108,0.002047727683718347,0.5359820000000001,0.002161590155417997
88,0.596873,0.002122817467423879,0.5351146666666667,0.0020099395236894404
89,0.5965736666666667,0.0020841216108684474,0.5343456666666667,0.002125394133383774
90,0.5963763333333333,0.002066052973398525,0.533501,0.0019302343553741232
91,0.5962396666666667,0.002110158024624883,0.532918,0.0019712539156587373
92,0.596051,0.002090672778477466,0.5322136666666667,0.0019208401518317133
93,0.5958106666666666,0.0022258371209252386,0.5314383333333333,0.001941470462189837
94,0.5956463333333334,0.002236770936466724,0.5308613333333333,0.0017831126966316524
95,0.5954273333333333,0.0022994783949602127,0.5301616666666668,0.001807574126342333
96,0.59532,0.002380815966568314,0.5295663333333333,0.001859163670997131
97,0.5951479999999999,0.0024747647699663615,0.5289673333333332,0.001735183051502685
98,0.5949030000000001,0.0024507268309625846,0.528322,0.0017163030035515588
99,0.5947749999999999,0.002395985948762361,0.527705,0.0018509608315683014
100,0.5946253333333333,0.0024005624803829085,0.5271136666666667,0.0018948472820315507
101,0.5944766666666667,0.0023463545246947735,0.5263873333333334,0.0019853235392639757
102,0.5943236666666666,0.002284072581061189,0.5255996666666666,0.001786681529788885
103,0.5942093333333334,0.002334353348479081,0.5249976666666666,0.0015671312077238891
104,0.593982,0.0023495005142937435,0.5241336666666667,0.0014083385798718906
105,0.5938,0.0023340009997141506,0.5234663333333334,0.001374279043312853
106,0.5936743333333333,0.0023102805505440544,0.522799,0.001425460861148653
107,0.5934596666666666,0.002283289196653674,0.5220733333333333,0.0013301088510176435
108,0.5932386666666667,0.002241343694205668,0.5214103333333333,0.001517552927870668
109,0.5931076666666666,0.0022567091576501516,0.5207253333333334,0.0014480009975441572
110,0.5930086666666666,0.00225623319322764,0.5201093333333333,0.0015037451764030845
